Lua Errors: 153 | Dir: /workspace/scripts | Time: 2026-06-19 14:03:14
EmmyLua Types: /workspace/.emmylua
---
ERROR | AIBattleSystem.lua:667:8 | undefined global variable: playerState [undefined-global]
ERROR | AIBattleSystem.lua:668:9 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:253:24 | undefined global variable: NotifyPanel [undefined-global]
ERROR | CharacterStorySystem.lua:254:25 | undefined global variable: NotifyPanel [undefined-global]
ERROR | CharacterStorySystem.lua:273:24 | undefined global variable: NotifyPanel [undefined-global]
ERROR | CharacterStorySystem.lua:274:25 | undefined global variable: NotifyPanel [undefined-global]
ERROR | CharacterStorySystem.lua:293:16 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:293:32 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:293:60 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:299:16 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:299:32 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:299:60 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:301:16 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:301:32 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:301:63 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:364:8 | undefined global variable: playerState [undefined-global]
ERROR | CharacterStorySystem.lua:365:9 | undefined global variable: playerState [undefined-global]
ERROR | FlagshipSystem.lua:150:25 | undefined global variable: UICommon [undefined-global]
ERROR | FlagshipSystem.lua:150:38 | undefined global variable: UICommon [undefined-global]
ERROR | FriendSystem.lua:75:21 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:75:37 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:119:8 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:120:9 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:163:22 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:163:38 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:168:28 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:168:44 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:208:8 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:209:9 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:255:8 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:256:9 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendSystem.lua:302:8 | undefined global variable: playerState [undefined-global]
ERROR | FriendSystem.lua:303:9 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:81:24 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:81:48 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:164:22 | undefined global variable: GUILD_LEVEL_REWARDS [undefined-global]
ERROR | GuildSystem.lua:275:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:275:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:287:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:287:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:336:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:336:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:349:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:349:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:363:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:363:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:402:12 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:402:54 | undefined global variable: GUILD_ROLES [undefined-global]
ERROR | GuildSystem.lua:434:33 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:434:49 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:475:36 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:476:13 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:479:9 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:479:29 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:486:20 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:486:36 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:512:14 | undefined global variable: GUILD_LEVEL_REWARDS [undefined-global]
ERROR | GuildSystem.lua:513:29 | undefined global variable: GUILD_LEVEL_REWARDS [undefined-global]
ERROR | GuildSystem.lua:518:16 | undefined global variable: NotifyPanel [undefined-global]
ERROR | GuildSystem.lua:519:17 | undefined global variable: NotifyPanel [undefined-global]
ERROR | GuildSystem.lua:536:25 | undefined global variable: GUILD_LEVEL_REWARDS [undefined-global]
ERROR | GuildSystem.lua:557:27 | undefined global variable: GUILD_DAILY_TASKS [undefined-global]
ERROR | GuildSystem.lua:570:27 | undefined global variable: GUILD_DAILY_TASKS [undefined-global]
ERROR | GuildSystem.lua:593:24 | undefined global variable: GUILD_DAILY_TASKS [undefined-global]
ERROR | GuildSystem.lua:606:24 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:606:40 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:640:8 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:641:9 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:645:9 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:653:25 | undefined global variable: playerState [undefined-global]
ERROR | GuildSystem.lua:653:41 | undefined global variable: playerState [undefined-global]
ERROR | PerformanceOptimizer.lua:444:19 | undefined global variable: frameTime [undefined-global]
ERROR | PerformanceOptimizer.lua:444:47 | undefined global variable: frameTime [undefined-global]
ERROR | PerformanceOptimizer.lua:340:24 | The current Lua version Lua 5.4 is not accessible; expected Lua 5.1, Lua 5.2, Lua JIT. [access-invisible]
ERROR | SeasonSystem.lua:126:8 | undefined global variable: playerState [undefined-global]
ERROR | SeasonSystem.lua:126:24 | undefined global variable: playerState [undefined-global]
ERROR | SeasonSystem.lua:127:30 | undefined global variable: playerState [undefined-global]
ERROR | SeasonSystem.lua:139:20 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:140:24 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:195:24 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:205:24 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:216:30 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:217:24 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:243:8 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:244:9 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:273:12 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:274:13 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:346:8 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:347:9 | undefined global variable: NotifyPanel [undefined-global]
ERROR | SeasonSystem.lua:446:24 | undefined global variable: SEASONS [undefined-global]
ERROR | SeasonSystem.lua:494:32 | undefined global variable: SEASON_POINT_REWARDS [undefined-global]
ERROR | SeasonSystem.lua:507:8 | undefined global variable: playerState [undefined-global]
ERROR | SeasonSystem.lua:508:9 | undefined global variable: playerState [undefined-global]
ERROR | SeasonSystem.lua:173:20 | expected `std.osdateparam?` but found `{ year = number?, month = number?, day = number?, hour = 0, ... }`. [param-type-mismatch]
ERROR | SpectatorSystem.lua:60:23 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:60:39 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:61:25 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:61:41 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:258:20 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:258:36 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:259:22 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:259:38 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:368:8 | undefined global variable: playerState [undefined-global]
ERROR | SpectatorSystem.lua:369:9 | undefined global variable: playerState [undefined-global]
ERROR | FriendPanel.lua:54:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:67:5 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:94:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:94:45 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:98:9 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:128:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:155:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:179:30 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:179:49 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:182:13 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:194:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:194:45 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:197:9 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:210:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:231:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:245:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:245:45 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:248:9 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:259:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:259:45 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:262:9 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:273:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:296:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:296:41 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:299:5 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:320:30 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:338:34 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:338:53 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:341:17 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:344:24 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendPanel.lua:345:25 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendPanel.lua:372:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:398:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:437:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:437:45 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:440:9 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:443:27 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendPanel.lua:444:21 | undefined global variable: NotifyPanel [undefined-global]
ERROR | FriendPanel.lua:459:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:470:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:470:41 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:473:5 | undefined global variable: addHit [undefined-global]
ERROR | FriendPanel.lua:480:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:487:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:506:26 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:512:77 | undefined global variable: playerState [undefined-global]
ERROR | FriendPanel.lua:512:93 | undefined global variable: playerState [undefined-global]
ERROR | FriendPanel.lua:532:22 | undefined global variable: NVG_ALIGN [undefined-global]
ERROR | FriendPanel.lua:558:26 | undefined global variable: NVG_ALIGN [undefined-global]
